id,name,price
de30b9e9-52e7-4363-8c1a-6bcb3c3dd501,dTPxlTT5bt,24
bc23f6c6-7d0f-408d-99c3-5bd54242ecd5,8XzAOwfSRs,51
,WjeNaxhnZ7,25
,pCkVM3LYkY,93
90161411-872b-4dea-b9e5-796e44ec5347,KW3k4cG6yW,73
,fAYev7hLoo,8
,qgpZDl5eVf,67
,iI6B2dsHY9,5
00e04fa5-8ae0-4edd-9f82-70ac81976e9d,BymFiCbqTg,13
,ZDtymnirt6,61
,bZ6x6JkUGS,82
,ZW6YT5AK0q,29
,JphMqTakLG,39
169fe5fe-ca42-4084-a01a-7dd063f49ad4,dY9o2g9sXg,58
,rb2XvaKzed,87
89df10fe-b492-4715-aba8-17f2f0045507,86hqK4ihXX,64
32832c1f-1252-4f93-b7e4-6ad4f44b28ec,8DvlUawG2J,52
5d9c2435-6549-41e1-b650-f1147b164b47,aE7UuMj9PU,62
,rhPA7c4FxT,21
,iwKGIk0vmG,67
1f240923-d156-4a0a-89c7-12e90c905e47,2j2P9VEUw3,17
5efafe63-4bf7-460e-b6f1-2994e7f43e1f,2IKZHinscn,60
,5hHrO7GUBr,22
,xxBEsqhXMn,4
,KaEyDfdIGi,34
88f0b70e-2001-4a23-9dac-8e96caeaf731,wuNUqbHcfK,4
,DMhwkjgnC3,46
1056f034-e718-4456-8f2b-5765eedac14c,ulsiBPVRto,76
747fcd13-a6c9-4ba4-af04-06a6ac74b2b3,uVMZU0bpA3,97
,4LeDko8YuY,51
,LPSJdgc6JK,89
ba180224-ebed-4581-8e0a-49b0e9910e4a,tYAEMM83Rj,65
5b1fb3c7-9761-405d-bd71-1620a1d2f646,Yeg6i8U84k,15
0b2041eb-dcbf-4a37-ad0a-facb05c7a876,h1LgqbjHvo,50
,PQz0fvQXEt,16
,DQaP5l4crw,93
554482d0-821b-4917-89c3-f3fa9da5cf3a,hq6SEydILC,49
ac56907c-3f0d-4e49-b076-9c6eaaa6387d,P5XvPkihAj,38
,VN5zS5KCPd,35
,WJE5rpbqVY,39
8f83bc35-7420-4cbb-96b6-1d937f094222,osbm2COJF1,42
,5guRmVr8pI,53
e3c7bd87-8d10-4d5a-abe3-e627f48de42f,re4bXXaPrL,40
,0X4ytRRiDg,36
12b73bc7-f647-473e-9b3d-53f8c92b57ca,JpYv4Xkrdp,18
,9EXtIJrQh5,33
,R6IPBxdMpH,66
781d5fb9-97b0-4e88-a776-213ab8f341dd,9Iw9YpieXF,95
,oCuAjnH4jo,20
d4ae4502-de52-4622-975a-6600caf0be51,ceSKvTyBIT,90
8c6ae05b-35b9-416d-ab66-1bedc9a12c89,ppbSoqoQ6b,13
7927d0ed-8bec-4232-9d29-80096f9fe876,mL5ENagD3b,69
,BawIRm7dZl,38
,i50OqHGk7O,16
,l1dHIA9qNY,61
,3vb46M6tsF,58
c2f0a553-e446-4a7f-bac2-100ce5e60830,2yTmhqeE6C,85
,U2nIqUJCdZ,92
8b18b8d8-e8b3-48f5-97eb-d2ab95a9b9b4,cqCVSr8Ysl,91
,1K42yeQ116,34
,nbF8GxgBhn,15
,vydDJeypak,18
7f6220f4-9c32-484e-855b-919b2686b9c3,97HvjzZWQe,84
14c4e620-804c-460d-89a4-3d0e17715ba6,R4DtiQZcd4,20
,b0pqJbllhs,84
,1o12MSIV1q,74
,Cng5sRZU5r,73
e5f9116e-5e80-4ddc-98cf-1b44427ec9dc,esqE4c6JT9,51
,qE1b60WDgP,39
f8b6a13d-0a5e-4692-a7a7-a082284f9e63,cUHQaUOl3C,38
,LqDxUy7aQJ,2
030a65cc-925c-4b0e-a2da-376c0024bb05,6JKaV8ZoqW,54
3ccda006-0684-43b3-bcdf-87db0c2eaf3b,ZMAMleylh6,16
a0fdac56-f3eb-48de-8110-abfe75994e17,8c64lGJacP,96
f3d8be76-422e-4869-b76b-8f6ce9298cf5,jA6H0lLewc,16
,FzZZGHnhhf,87
f03ef91e-e40f-41d6-b544-9a7ab6713454,YDSmKER9Us,37
2a52f904-6407-4ac4-8721-a15d3933a068,cKn7q3cW4c,35
f3bc81f0-9dd7-4366-b953-a9e53b7548b9,jFPkR84g52,93
85a68910-e781-44cf-92a1-8030b7a98d1a,31nX1ECLb6,66
,ZSJKUVdupP,4
,YVfzoWCyw1,15
d9603a3f-6bdc-47c0-ba74-5c63b0474be4,Hrop6GLcsV,9
